timestamp,actor_type,actor,event,details
2026-02-24 15:26:16,investigator,investigator1,login,Investigator logged in
2026-02-26 16:16:13,investigator,Jahnavi,login,Investigator logged in
2026-02-26 16:31:52,investigator,Jahnavi,login,Investigator logged in
2026-02-26 16:37:21,investigator,Jahnavi,login,Investigator logged in
2026-02-26 16:59:50,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:00:16,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:02:13,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:14:46,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:15:35,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:32:16,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:46:14,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:53:14,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:59:01,investigator,Jahnavi,login,Investigator logged in
2026-02-26 17:59:43,investigator,Jahnavi,login,Investigator logged in
2026-02-27 18:00:43,investigator,Jahnavi,login,Investigator logged in
